Post id,Date,post_text,Link,Impressions,Likes,Engagements,Bookmarks,Share,New follows,Replies,Reposts,Profile visits,Detail expands,Url clicks,Hashtag clicks,Permalink clicks
1902437006690400000,YYYY-00-DD 00:00:SS,"Patients benefit from the Agency for Healthcare Research and Quality, which helps to reduce medical errors, protect patient safety, and make care more affordable. I joined @SenBlumenthal and @RepDonBeyer in sending a message to Trump and DOGE last week: hands off AHRQ! https://t.co/oAn8r7N3m6",https://x.com/RepRaskin/status/1902437006690402384,14017,379,750,11,2,0,85,121,25,98,2,0,0
1902346232166590000,YYYY-00-DD 00:00:SS,"More than 150,000 MD-08 residents rely on Medicaid for lifesaving care, yet Trump &amp; MAGA are pushing the largest cut ever. Let’s defend Medicaid with everything we’ve got. https://t.co/OWeC4KDSTp",https://x.com/RepRaskin/status/1902346232166592819,80059,4659,8734,60,6,18,1619,1395,128,617,7,0,0
1901721452568560000,YYYY-00-DD 00:00:SS,Culture war censors at Secretary Pete Hegseth's DoD are purging books and learning materials from military-run schools. Military families deserve best-in-class education access and the First Amendment rights they defend for us all. https://t.co/q7QVSdx7Ai,https://x.com/RepRaskin/status/1901721452568560108,77477,2674,6023,100,36,2,576,1367,169,725,40,0,0
1901257942688530000,YYYY-00-DD 00:00:SS,"If Vladimir Putin had a plan to foul our air and water, wreck public health and drive America over the cliff of irreversible lethal climate change, it would look exactly like Lee Zeldin’s plan. This is a plan for self-inflicted environmental disaster. https://t.co/V25nvWrKK1",https://x.com/RepRaskin/status/1901257942688530840,275293,7130,15337,344,78,11,1116,3458,324,1386,1905,0,0
1900694293381010000,YYYY-00-DD 00:00:SS,"We need strong federal, state and local teamwork to protect our people from the lawless actions of the Trump Admin—and I'm honored to call @OAGMaryland Anthony Brown my partner. Thanks to this Local Hero for standing in the breach for Marylanders. https://t.co/icpaWnkyn7",https://x.com/RepRaskin/status/1900694293381013514,37640,489,1188,7,0,2,246,107,43,171,129,0,0
1900638812054970000,YYYY-00-DD 00:00:SS,"From the halls of Congress to the communities of Southern Arizona, America mourns the painful loss of Congressman Raúl Grijalva, a passionate and undaunted servant of the people. Sending love and strength to his family. May his memory be a blessing to us all.",https://x.com/RepRaskin/status/1900638812054974785,16877,535,795,3,0,0,76,61,24,99,0,0,0
1900618722429080000,YYYY-00-DD 00:00:SS,"Public sector workers in democracies fought fascism and genocide. In totalitarian states, some went along with totalitarian crimes; some resisted. What kind of “public sector worker” will Elon Musk be? https://t.co/QMXMEfGKdZ",https://x.com/RepRaskin/status/1900618722429084051,24922,579,1600,15,0,0,295,162,55,222,286,0,0
1900565183606500000,YYYY-00-DD 00:00:SS,This is a terrible affront to the veterans posthumously dishonored and canceled and to their families. It is a pathological statement that the MAGA government cannot even accept inclusion in death. https://t.co/wiIHivctun,https://x.com/RepRaskin/status/1900565183606497409,58469,3690,9575,118,46,5,318,1492,113,718,3234,3,0
1900215640431970000,YYYY-00-DD 00:00:SS,"One day after Republicans passed a bill to slash NOAA funding, DOGE plans to cut 1,000 jobs from the agency which produces weather data and climate science. Trump thinks he can redirect hurricanes with his Sharpie but you don’t need a weatherman to know this administration blows.",https://x.com/RepRaskin/status/1900215640431972454,79044,5293,8999,60,20,80,1231,1586,203,599,0,0,0
1899984014498290000,YYYY-00-DD 00:00:SS,"I introduced legislation to help state and local governments invest in road safety efforts—in memory of Sarah Langenkamp, a fine diplomat, an amazing mother and a beloved friend. I'm grateful to her family for working with me to make our streets and community safer.",https://x.com/RepRaskin/status/1899984014498287842,29901,668,1200,7,1,1,97,150,42,185,56,0,0
1899978197506170000,YYYY-00-DD 00:00:SS,"House Dems are ready and eager to vote for a 4-week funding extension to block these devastating cuts and keep the government open, allowing us to reach a serious bipartisan compromise.",https://x.com/RepRaskin/status/1899978197506166937,41841,1748,3034,21,5,1,362,423,125,373,0,0,0
1899958805644960000,YYYY-00-DD 00:00:SS,The biggest entitlement crisis in America is Trump and Musk’s sense of entitlement—they think they own the country. But we’re going to defend Social Security and Medicare against Musk’s chainsaw as the slash-and-burn campaign continues.,https://x.com/RepRaskin/status/1899958805644955966,335977,10100,19051,145,14,36,3327,2820,899,1854,6,0,0
1899795061681910000,YYYY-00-DD 00:00:SS,"DOGE just sacked half of @usedgov’s workforce, including lawyers defending students with disabilities. If these chainsaw massacres are so popular, why don’t they bring them to Congress first? How many cases do they have to lose?",https://x.com/RepRaskin/status/1899795061681913876,123320,6110,10997,86,17,15,1266,2068,415,1108,2,0,0
